state;mes;total_casos;total_mortes;letalidade;
AL;01/03/2020;149;1;0;671
AM;01/03/2020;905;9;0;994
BA;01/03/2020;1292;4;0;310
CE;01/03/2020;2755;27;0;980
DF;01/03/2020;2507;5;0;199
GO;01/03/2020;501;6;0;7
MA;01/03/2020;128;2;0;10
MG;01/03/2020;1928;3;0;3
MS;01/03/2020;346;1;0;10
PE;01/03/2020;707;30;0;2
PI;01/03/2020;108;9;0;12
PR;01/03/2020;1235;12;0;16
RJ;01/03/2020;5042;116;0;2
RN;01/03/2020;382;3;0;3
RO;01/03/2020;53;1;0;42
RS;01/03/2020;1863;15;0;83
SC;01/03/2020;1534;7;0;10
SP;01/03/2020;14151;730;0;23
AC;01/04/2020;4432;174;0;8
AL;01/04/2020;6918;397;0;19
AM;01/04/2020;58086;4336;0;8
AP;01/04/2020;11317;312;0;5
BA;01/04/2020;35011;1133;0;52
CE;01/04/2020;90285;4953;0;39
DF;01/04/2020;22540;542;0;57
ES;01/04/2020;25697;782;0;75
GO;01/04/2020;9956;443;0;28
MA;01/04/2020;30809;1534;0;32
MG;01/04/2020;29706;1005;0;55
MS;01/04/2020;4212;131;0;24
MT;01/04/2020;4627;142;0;30
PA;01/04/2020;23777;1248;0;44
PB;01/04/2020;6942;724;0;50
PE;01/04/2020;66939;5874;0;34
PI;01/04/2020;4382;315;0;31
PR;01/04/2020;24567;1195;0;31
RJ;01/04/2020;125672;10001;0;52
RN;01/04/2020;14596;684;0;104
RO;01/04/2020;4366;127;0;88
RR;01/04/2020;5519;81;0;72
RS;01/04/2020;23714;648;0;49
SC;01/04/2020;26405;789;0;80
SE;01/04/2020;2924;163;0;47
SP;01/04/2020;373383;28245;0;29
TO;01/04/2020;1119;26;0;15
AC;01/05/2020;81566;2101;0;27
AL;01/05/2020;130843;6666;0;30
AM;01/05/2020;637448;40676;0;56
AP;01/05/2020;135432;3636;0;76
BA;01/05/2020;287325;9987;0;23
CE;01/05/2020;770923;52057;0;26
DF;01/05/2020;141985;2293;0;51
ES;01/05/2020;222876;9430;0;64
GO;01/05/2020;55741;2198;0;27
MA;01/05/2020;435911;16935;0;35
MG;01/05/2020;153328;5064;0;68
MS;01/05/2020;20333;439;0;16
MT;01/05/2020;31017;892;0;42
PA;01/05/2020;493993;42386;0;39
PB;01/05/2020;159930;5998;0;39
PE;01/05/2020;599158;48408;0;33
PI;01/05/2020;71317;2332;0;22
PR;01/05/2020;78150;3984;0;29
RJ;01/05/2020;814924;86092;0;86
RN;01/05/2020;104674;4536;0;38
RO;01/05/2020;68817;2402;0;81
RR;01/05/2020;55675;1618;0;33
RS;01/05/2020;134524;4272;0;51
SC;01/05/2020;154447;2685;0;106
SE;01/05/2020;103895;2004;0;43
SP;01/05/2020;1935800;147938;0;35
TO;01/05/2020;48850;1003;0;29
AC;01/06/2020;299273;8014;0;32
AL;01/06/2020;700822;23054;0;17
AM;01/06/2020;1730550;74790;0;19
AP;01/06/2020;568499;9860;0;76
BA;01/06/2020;1231094;36252;0;21
CE;01/06/2020;2453829;148267;0;27
DF;01/06/2020;806294;10543;0;33
ES;01/06/2020;877915;33948;0;43
GO;01/06/2020;361483;7890;0;17
MA;01/06/2020;1820098;45394;0;29
MG;01/06/2020;728718;16769;0;60
MS;01/06/2020;125175;1170;0;13
MT;01/06/2020;227708;8148;0;39
PA;01/06/2020;2175831;125315;0;22
PB;01/06/2020;907076;19844;0;25
PE;01/06/2020;1406714;116613;0;23
PI;01/06/2020;350475;11686;0;9
PR;01/06/2020;352738;11303;0;36
RJ;01/06/2020;2540147;238688;0;58
RN;01/06/2020;483128;18457;0;22
RO;01/06/2020;383523;10252;0;83
RR;01/06/2020;239787;6218;0;33
RS;01/06/2020;509457;11705;0;32
SC;01/06/2020;475089;6629;0;94
SE;01/06/2020;459657;11359;0;38
SP;01/06/2020;5726739;337023;0;27
TO;01/06/2020;221100;4227;0;26
AC;01/07/2020;520593;13797;0;23
AL;01/07/2020;1491542;41494;0;14
AM;01/07/2020;2707699;95576;0;25
AP;01/07/2020;1015459;15470;0;59
BA;01/07/2020;3649880;83068;0;19
CE;01/07/2020;4434328;217854;0;27
DF;01/07/2020;2415365;31711;0;28
ES;01/07/2020;2072410;66026;0;35
GO;01/07/2020;1306702;31532;0;15
MA;01/07/2020;3191033;80245;0;23
MG;01/07/2020;2650879;56949;0;49
MS;01/07/2020;487090;6452;0;13
MT;01/07/2020;1011677;37552;0;32
PA;01/07/2020;4089843;167251;0;24
PB;01/07/2020;2015070;43670;0;25
PE;01/07/2020;2370950;179447;0;21
PI;01/07/2020;1130113;31796;0;13
PR;01/07/2020;1539126;38565;0;37
RJ;01/07/2020;4287133;366403;0;41
RN;01/07/2020;1283060;45761;0;22
RO;01/07/2020;910531;21223;0;76
RR;01/07/2020;750377;13003;0;28
RS;01/07/2020;1415014;36292;0;25
SC;01/07/2020;1585292;19878;0;85
SE;01/07/2020;1294238;33215;0;36
